latitude;longitude;class
39.933159;116.352951;0
39.933109;116.352951;0
39.933060;116.352951;0
39.934158;116.352760;0
39.934151;116.352753;0
39.934910;116.352768;0
39.934860;116.352821;0
39.934151;116.352760;0
39.936241;116.347969;0
39.936161;116.346649;0
39.936310;116.347389;0
39.934841;116.349838;0
39.932911;116.349442;0
39.935081;116.349289;0
39.935329;116.349281;0
39.946518;116.342918;0
39.945122;116.343384;0
39.947041;116.342941;0
39.938530;116.345810;0
39.938889;116.345932;0
39.938850;116.346298;0
39.937851;116.346069;0
39.938419;116.346039;0
39.939030;116.345978;0
39.930458;116.349152;0
39.930599;116.349373;0
39.931030;116.348358;0
39.932400;116.349640;0
39.931160;116.349541;0
39.937771;116.341690;0
39.931152;116.351257;0
39.927151;116.361038;0
39.926929;116.360924;0
39.926918;116.360924;0
39.925819;116.360489;0
39.925709;116.360428;0
39.930008;116.358223;0
39.921169;116.375610;0
39.921459;116.370979;0
39.921749;116.367249;0
39.948929;116.342323;0
39.952450;116.341301;0
39.952381;116.341347;0
39.966560;116.355080;0
39.955948;116.414330;0
39.955921;116.414658;0
39.955872;116.412849;0
39.955441;116.412483;0
39.953671;116.412682;0
39.953682;116.412666;0
39.952660;116.418381;0
39.952641;116.418327;0
39.952660;116.418182;0
39.951881;116.418961;0
39.952812;116.414726;0
39.950089;116.419060;0
39.939640;116.415108;0
39.939640;116.415649;0
39.939640;116.416344;0
39.939640;116.416420;0
39.939590;116.415489;0
39.939560;116.413559;0
39.939560;116.413452;0
39.939651;116.416718;0
39.949409;116.419090;0
39.948952;116.418983;0
39.949100;116.419113;0
39.948372;116.418488;0
39.947941;116.418678;0
39.947971;116.416481;0
39.947811;116.414337;0
39.947952;116.416359;0
39.946209;116.419739;0
39.946590;116.419434;0
39.944359;116.419289;0
39.957191;116.412079;0
39.957081;116.412209;0
39.955921;116.415604;0
39.955921;116.415489;0
39.955921;116.415367;0
39.957062;116.412170;0
39.957718;116.412163;0
39.957821;116.412552;0
39.958199;116.412079;0
39.958229;116.412071;0
39.955971;116.416656;0
39.952492;116.419006;0
39.952690;116.418839;0
39.952679;116.418831;0
39.951790;116.419121;0
39.969040;116.404953;0
39.967461;116.406998;0
39.967659;116.405602;0
39.967728;116.406120;0
39.967842;116.406311;0
39.963509;116.410591;0
39.963551;116.410538;0
39.963631;116.410454;0
39.963692;116.410408;0
39.963608;116.411209;0
39.960518;116.412033;0
39.959259;116.414589;0
39.956020;116.419006;0
39.955990;116.418770;0
39.955971;116.418388;0
39.955959;116.418381;0
39.955940;116.417503;0
39.955948;116.418854;0
39.956268;116.417122;0
39.955971;116.416672;0
39.954651;116.418831;0
39.954659;116.418900;0
39.954102;116.418930;0
39.961159;116.412003;0
39.959919;116.412018;0
39.932140;116.411560;0
39.932171;116.410629;0
39.932671;116.411850;0
39.932320;116.411240;0
39.929859;116.410912;0
39.935318;116.419533;0
39.932259;116.416679;0
39.941528;116.419479;0
39.938499;116.419434;0
39.939671;116.419739;0
39.939701;116.418289;0
39.939701;116.418518;0
39.952850;116.422279;0
39.918320;116.384903;0
39.916271;116.396561;0
39.912701;116.385201;0
39.927410;116.411018;0
39.922371;116.404678;0
39.922218;116.404579;0
39.923401;116.411133;0
39.923420;116.411118;0
39.923729;116.411186;0
39.970181;116.404900;0
39.971298;116.377693;0
39.978508;116.384506;0
39.980911;116.383179;0
39.981110;116.381622;0
39.978348;116.384308;0
39.978340;116.384300;0
39.966789;116.376251;0
39.968639;116.374107;0
39.968521;116.374329;0
39.966888;116.376678;0
39.966679;116.376991;0
39.966949;116.376907;0
39.975288;116.371880;0
39.980251;116.401199;0
39.978172;116.401093;0
39.982071;116.401100;0
39.971169;116.406570;0
39.971069;116.408524;0
39.971069;116.406372;0
39.968521;116.411682;0
39.967991;116.411797;0
39.972641;116.411362;0
39.974110;116.411293;0
39.968079;116.413818;0
39.968102;116.413223;0
39.968102;116.413300;0
39.976261;116.411293;0
39.975128;116.411240;0
39.968079;116.414574;0
39.924179;116.349991;0
39.926819;116.346489;0
39.926979;116.350029;0
39.927311;116.349876;0
39.929268;116.349777;0
39.930168;116.349770;0
39.927452;116.346992;0
39.925461;116.346611;0
39.931049;116.344330;0
39.931061;116.342842;0
39.930981;116.340729;0
39.935890;116.338898;0
39.935959;116.338737;0
39.935970;116.338608;0
39.934471;116.338097;0
39.934559;116.338097;0
39.934559;116.338097;0
39.925400;116.346001;0
39.925438;116.345810;0
39.923340;116.350060;0
39.927498;116.340553;0
